period,atmid,layout,value_unit_published,atm_onsite,atm_offsite,pos_online,pos_offline,cc_cards,cc_atm_vol,cc_pos_vol,cc_atm_val,cc_pos_val,dc_cards,dc_atm_vol,dc_pos_vol,dc_atm_val,dc_pos_val,atm_online,atm_offline,micro_atm,bharat_qr,pos,upi_qr,cc_ecom_vol,cc_ecom_val,cc_other_vol,cc_other_val,dc_ecom_vol,dc_ecom_val,dc_other_vol,dc_other_val,dc_cashpos_vol,dc_cashpos_val,cc_atm_val_mn,cc_pos_val_mn,dc_atm_val_mn,dc_pos_val_mn,cc_ecom_val_mn,cc_other_val_mn,dc_ecom_val_mn,dc_other_val_mn,dc_cashpos_val_mn
2015-11,57,A14,million,96664.0,95544.0,1269871.0,337.0,22475500.0,489622.0,66041478.0,2580.95421996,207688.40050768002,624626392.0,674582198.0,99944365.0,2151143.77328834,148992.10262835008,,,,,,,,,,,,,,,,,2580.95421996,207688.40050768002,2151143.77328834,148992.10262835008,,,,,
2015-12,58,A14,million,97793.0,95975.0,1245110.0,337.0,22748760.0,534094.0,69367262.0,2748.5275919500004,211941.38249340001,643191224.0,708001000.0,108118356.0,2204614.9575650515,145831.9312107493,,,,,,,,,,,,,,,,,2748.5275919500004,211941.38249340001,2204614.9575650515,145831.9312107493,,,,,
2016-01,59,A14,million,99775.0,96304.0,1336973.0,337.0,23782202.0,547789.0,69676607.0,2655.66268815,211734.74644273001,653363198.0,707629136.0,109876461.0,2181881.52305958,146107.52947648,,,,,,,,,,,,,,,,,2655.66268815,211734.74644273001,2181881.52305958,146107.52947648,,,,,
2016-02,60,A14,million,100671.0,96656.0,1363148.0,328.0,24126523.0,558815.0,67074703.0,2699.4932195399997,206383.55320577,658378788.0,693637516.0,105065898.0,2140999.752933791,129610.38978787995,,,,,,,,,,,,,,,,,2699.4932195399997,206383.55320577,2140999.752933791,129610.38978787995,,,,,
2016-03,61,A14,million,101950.0,97149.0,1385342.0,326.0,24505219.0,612531.0,72220394.0,2803.1696083,226942.9850712,661824092.0,731722405.0,112868336.0,2245821.7466578106,134631.90649853004,,,,,,,,,,,,,,,,,2803.1696083,226942.9850712,2245821.7466578106,134631.90649853004,,,,,
2016-04,62,A14,million,101826.0,98128.0,1403112.0,326.0,24860730.0,591865.0,72827537.0,2863.3717441799995,227246.28182444,671187187.0,733399002.0,118284077.0,2252098.446978551,148033.83090078,,,,,,,,,,,,,,,,,2863.3717441799995,227246.28182444,2252098.446978551,148033.83090078,,,,,
2016-05,63,A14,million,102805.0,97861.0,1417998.0,326.0,25147902.0,581892.0,78475511.0,2843.5817473400007,249599.96534730002,680010680.0,737569787.0,133966059.0,2202216.7188947494,155147.63174307998,,,,,,,,,,,,,,,,,2843.5817473400007,249599.96534730002,2202216.7188947494,155147.63174307998,,,,,
2016-06,64,A14,million,101346.0,99989.0,1432341.0,386.0,25543847.0,591054.0,76307286.0,2856.6815709200005,239555.1259177,691142157.0,732171388.0,118203204.0,2204475.45571272,155005.41406486995,,,,,,,,,,,,,,,,,2856.6815709200005,239555.1259177,2204475.45571272,155005.41406486995,,,,,
2016-07,65,A14,million,103282.0,98579.0,1443595.0,304.0,25943794.0,606314.0,79440734.0,2922.4069008700003,243414.14766841,697222455.0,752133454.0,129069978.0,2191650.6976580406,170919.2347707,,,,,,,,,,,,,,,,,2922.4069008700003,243414.14766841,2191650.6976580406,170919.2347707,,,,,
2016-08,66,A14,million,103651.0,99150.0,1461672.0,300.0,26378940.0,646950.0,83954292.0,3042.7395194299997,257485.54642148,712465787.0,756738440.0,130529004.0,2196575.01786466,183704.92582044,,,,,,,,,,,,,,,,,3042.7395194299997,257485.54642148,2196575.01786466,183704.92582044,,,,,
