period,atmid,layout,value_unit_published,atm_onsite,atm_offsite,pos_online,pos_offline,cc_cards,cc_atm_vol,cc_pos_vol,cc_atm_val,cc_pos_val,dc_cards,dc_atm_vol,dc_pos_vol,dc_atm_val,dc_pos_val,atm_online,atm_offline,micro_atm,bharat_qr,pos,upi_qr,cc_ecom_vol,cc_ecom_val,cc_other_vol,cc_other_val,dc_ecom_vol,dc_ecom_val,dc_other_vol,dc_other_val,dc_cashpos_vol,dc_cashpos_val,cc_atm_val_mn,cc_pos_val_mn,dc_atm_val_mn,dc_pos_val_mn,cc_ecom_val_mn,cc_other_val_mn,dc_ecom_val_mn,dc_other_val_mn,dc_cashpos_val_mn
2011-04,9,A14,million,41268.0,34377.0,585714.0,10244.0,17777686.0,171978.0,23227778.0,963.7209519832501,70553.98076351397,230256833.0,399553342.0,22461539.0,1061653.4724379862,37055.43341498082,,,,,,,,,,,,,,,,,963.7209519832501,70553.98076351397,1061653.4724379862,37055.43341498082,,,,,
2011-05,8,A14,million,41698.0,35138.0,591418.0,9606.0,17658575.0,177189.0,25341607.0,1002.0728600825502,78809.93212981388,234977471.0,403465526.0,24387011.0,1126314.4661324986,42013.60312744622,,,,,,,,,,,,,,,,,1002.0728600825502,78809.93212981388,1126314.4661324986,42013.60312744622,,,,,
2011-06,7,A14,million,42513.0,35873.0,600295.0,9861.0,17659442.0,172625.0,24182946.0,960.3640527255361,71911.07962646967,239520133.0,391737317.0,23891416.0,1098540.787878441,37838.844462617344,,,,,,,,,,,,,,,,,960.3640527255361,71911.07962646967,1098540.787878441,37838.844462617344,,,,,
2011-07,6,A14,million,43290.0,36827.0,607805.0,10048.0,17646842.643333334,172970.0,25608258.0,967.2206253800001,74717.6302971399,243342679.0,414648767.0,26603990.0,1127437.3141460607,42325.65758007026,,,,,,,,,,,,,,,,,967.2206253800001,74717.6302971399,1127437.3141460607,42325.65758007026,,,,,
2011-08,5,A14,million,43914.0,37720.0,577094.0,10289.0,17584699.0,180047.0,27688863.0,1088.498112470204,80789.83905201519,251478570.0,414472319.0,27752834.0,1122738.9142333684,45605.18254927186,,,,,,,,,,,,,,,,,1088.498112470204,80789.83905201519,1122738.9142333684,45605.18254927186,,,,,
2011-09,4,A14,million,44432.0,38557.0,576102.0,10572.0,17625852.0,178119.0,25586421.0,1003.553420489033,76938.09708126391,251972284.0,409673081.0,26049559.0,1092567.151168936,41013.22449736667,,,,,,,,,,,,,,,,,1003.553420489033,76938.09708126391,1092567.151168936,41013.22449736667,,,,,
2011-10,3,A14,million,44875.0,39434.0,585685.0,10778.0,17619053.0,185542.0,28641501.0,1078.006636964504,89976.29235376223,255555596.0,449866388.0,30500708.0,1234095.9276221104,55910.613980269285,,,,,,,,,,,,,,,,,1078.006636964504,89976.29235376223,1234095.9276221104,55910.613980269285,,,,,
2011-11,2,A14,million,44807.0,40921.0,596081.0,11076.0,17034655.0,176818.0,24683380.0,1047.437433311494,79197.87589816184,259829834.0,417004503.0,27064448.0,1143812.6707771502,43288.276225062364,,,,,,,,,,,,,,,,,1047.437433311494,79197.87589816184,1143812.6707771502,43288.276225062364,,,,,
2011-12,10,A14,million,45275.0,42080.0,607094.0,11662.0,17672337.0,184298.0,28145942.5,1108.521189304428,84217.49151005167,263796762.0,444161114.0,29406351.0,1242370.6894473778,48818.97163794437,,,,,,,,,,,,,,,,,1108.521189304428,84217.49151005167,1242370.6894473778,48818.97163794437,,,,,
2012-01,11,A14,million,45618.0,43220.0,623348.0,12305.0,17739500.0,188208.0,29812268.0,1089.362000550038,88676.98646764671,268000217.0,434051835.0,30673852.0,1209807.8789150116,50611.0200310213,,,,,,,,,,,,,,,,,1089.362000550038,88676.98646764671,1209807.8789150116,50611.0200310213,,,,,
2012-02,12,A14,million,46118.0,44406.0,633663.0,12565.0,17574444.0,200762.0,26565890.0,1078.4195866558,81965.34557861059,273647940.0,432250953.0,28073471.0,1209838.316943349,43892.943817539985,,,,,,,,,,,,,,,,,1078.4195866558,81965.34557861059,1209838.316943349,43892.943817539985,,,,,
2012-03,13,A14,million,47545.0,48141.0,647869.0,13051.0,17653818.0,202106.0,28744709.62,1208.714768563085,88373.7218199899,278282839.0,471031623.0,30668922.0,1317167.704254213,46534.07157386001,,,,,,,,,,,,,,,,,1208.714768563085,88373.7218199899,1317167.704254213,46534.07157386001,,,,,
2012-04,14,A14,million,47914.0,48828.0,654616.0,13347.0,17772203.0,191696.0,29483446.033,1018.74284294531,101186.83077759242,281896365.0,452614082.0,31041360.0,1280330.6542469773,50716.07803951999,,,,,,,,,,,,,,,,,1018.74284294531,101186.83077759242,1280330.6542469773,50716.07803951999,,,,,
2012-05,15,A14,million,48129.0,49945.0,658250.0,13584.0,17900756.0,195616.0,30166356.3222,1135.2712707574478,93073.20413782724,286316295.0,460263881.0,32101263.0,1327925.5662967435,51109.35074172,,,,,,,,,,,,,,,,,1135.2712707574478,93073.20413782724,1327925.5662967435,51109.35074172,,,,,
2012-06,16,A14,million,48399.0,50819.0,669451.0,13507.0,18013578.0,194256.0,29513853.3221,880.695624040745,90269.51359681312,290677993.0,437110100.0,33055758.0,1309124.5978920853,50729.239925539994,,,,,,,,,,,,,,,,,880.695624040745,90269.51359681312,1309124.5978920853,50729.239925539994,,,,,
2012-07,17,A14,million,48662.0,51385.0,682083.0,12043.0,18152748.0,205250.0,33372045.0,1196.8966306000002,98745.59879170769,294077943.0,433449531.0,36895944.0,1357663.8381842587,57870.857120869994,,,,,,,,,,,,,,,,,1196.8966306000002,98745.59879170769,1357663.8381842587,57870.857120869994,,,,,
2012-08,18,A14,million,49023.0,51597.0,697206.0,12272.0,18226033.0,209236.0,32524725.0,1217.4879539600001,95843.53011145,298572426.0,424658556.0,37999996.0,1330128.80640607,58864.51879414001,,,,,,,,,,,,,,,,,1217.4879539600001,95843.53011145,1330128.80640607,58864.51879414001,,,,,
2012-09,19,A14,million,49258.0,52388.0,727761.0,14098.0,18367595.0,198862.0,30427400.0,1353.8729337400005,93665.42423050007,302481807.0,420141864.0,36709046.0,1310288.679350542,56406.78709005001,,,,,,,,,,,,,,,,,1353.8729337400005,93665.42423050007,1310288.679350542,56406.78709005001,,,,,
2012-10,20,A14,million,49819.0,52723.0,750175.0,14499.0,18520189.0,261213.0,35583728.0,1282.25699346,108643.38110494,306833366.0,446049609.0,39662970.0,1420022.086895001,67766.47091266005,,,,,,,,,,,,,,,,,1282.25699346,108643.38110494,1420022.086895001,67766.47091266005,,,,,
2012-11,21,A14,million,50672.0,53296.0,770075.0,14567.0,18654312.0,205079.0,33996899.24142552,1210.48996867,110914.61057796159,309477518.0,427533189.0,46894237.0,1452814.4744503996,72162.29929412,,,,,,,,,,,,,,,,,1210.48996867,110914.61057796159,1452814.4744503996,72162.29929412,,,,,
2012-12,22,A14,million,51600.0,54184.0,784862.0,14840.0,18851351.0,215268.0,36104486.0,1248.9948826500004,111635.94223374,314436803.0,448551210.0,43129684.0,1462717.8535852898,69061.08738981602,,,,,,,,,,,,,,,,,1248.9948826500004,111635.94223374,1462717.8535852898,69061.08738981602,,,,,
2013-01,23,A14,million,52992.0,54883.0,797968.0,14906.0,19023791.0,211402.0,37005455.0,1228.1365478999999,113920.31066170003,320350288.0,451309699.0,43310477.0,1494745.25012353,80154.61898379,,,,,,,,,,,,,,,,,1228.1365478999999,113920.31066170003,1494745.25012353,80154.61898379,,,,,
2013-02,24,A14,million,53992.0,55637.0,813178.0,14937.0,19219973.0,199523.0,32921958.22894807,1174.14874452,101036.05689242024,325651757.0,427800442.0,40685594.0,1390666.7229946102,61125.89405971,,,,,,,,,,,,,,,,,1174.14874452,101036.05689242024,1390666.7229946102,61125.89405971,,,,,
2013-03,26,A14,million,55760.0,58254.0,840983.0,13307.0,19538329.0,225770.0,35616482.0,1492.8510473700003,111217.42029710008,331196720.0,482004645.0,45376619.0,1556405.6105434,66873.04677938002,,,,,,,,,,,,,,,,,1492.8510473700003,111217.42029710008,1556405.6105434,66873.04677938002,,,,,
2013-04,25,A14,million,57090.0,59288.0,900352.0,13515.0,19553677.0,228604.0,37739514.0,1327.4950293000002,124182.48677656997,336866879.0,473418167.0,45286896.0,1565538.0581966501,76198.26890458007,,,,,,,,,,,,,,,,,1327.4950293000002,124182.48677656997,1565538.0581966501,76198.26890458007,,,,,
2013-05,27,A14,million,58503.0,60364.0,914569.0,15360.0,19589918.0,228909.0,40281121.0,1333.79439808,124638.2207563376,342245876.0,477855168.0,47493284.0,1614366.27544457,77080.45335456007,,,,,,,,,,,,,,,,,1333.79439808,124638.2207563376,1614366.27544457,77080.45335456007,,,,,
2013-06,28,A14,million,60151.0,61696.0,932752.0,15073.0,19132467.0,214911.0,36803376.0,1265.9022492899999,113750.89083632,348511646.0,468144788.0,47640990.0,1573140.71965361,70755.34612304007,,,,,,,,,,,,,,,,,1265.9022492899999,113750.89083632,1573140.71965361,70755.34612304007,,,,,
2013-07,29,A14,million,61643.0,62429.0,952534.0,15206.0,18782298.0,234708.0,44192634.0,1360.5860607,125410.13044972214,355417741.0,487148560.0,52163965.0,1578715.7549639698,77149.15557340012,,,,,,,,,,,,,,,,,1360.5860607,125410.13044972214,1578715.7549639698,77149.15557340012,,,,,
2013-08,30,A16x,million,63380.0,63570.0,965910.0,15283.0,18443838.0,239695.0,43151823.0,1393.7825845000002,122035.8934871985,362337081.0,496932651.0,55198729.0,1570615.6604507205,80096.59867350943,,,,,,,,,,,,,,,,,1393.7825845000002,122035.8934871985,1570615.6604507205,80096.59867350943,,,,,
2013-09,31,A14,million,65165.0,65125.0,980583.0,15358.0,18574936.0,229116.0,41812425.0,1327.6758079300002,119233.59788745994,367794961.0,493858796.0,53147269.0,1546670.4671026303,75075.01936204114,,,,,,,,,,,,,,,,,1327.6758079300002,119233.59788745994,1546670.4671026303,75075.01936204114,,,,,
2013-10,32,A14,million,66912.0,66401.0,948323.0,15168.0,18578309.0,247420.0,45127761.0,1443.45162153,134947.71700091282,374192339.0,538649053.0,54516803.0,1743433.7102978402,87205.14725934321,,,,,,,,,,,,,,,,,1443.45162153,134947.71700091282,1743433.7102978402,87205.14725934321,,,,,
2013-11,33,A14,million,69179.0,67901.0,960478.0,15294.0,18747076.0,235633.0,41838607.0,1337.1425073375378,126549.67199407879,381464280.0,510246036.0,51623636.0,1662648.4366172226,83905.69557626656,,,,,,,,,,,,,,,,,1337.1425073375378,126549.67199407879,1662648.4366172226,83905.69557626656,,,,,
2013-12,35,A14,million,71690.0,69826.0,1010332.0,15401.0,18686136.0,273653.0,45636971.0,1508.1916125399998,135065.73237203422,372506779.0,530351893.0,52295128.0,1699023.7462449642,81943.37613204867,,,,,,,,,,,,,,,,,1508.1916125399998,135065.73237203422,1699023.7462449642,81943.37613204867,,,,,
2014-01,34,A14,million,74042.0,71816.0,1018807.0,15354.0,18974160.0,274156.0,45578598.0,1505.73689184,141620.33395323623,380332001.0,538387754.0,53832983.0,1722318.0454829596,84977.59170520873,,,,,,,,,,,,,,,,,1505.73689184,141620.33395323623,1722318.0454829596,84977.59170520873,,,,,
2014-02,36,A14,million,76836.0,73172.0,1017846.0,17777.0,19052208.0,254956.0,40808266.0,1400.09439782,126930.66533567,386582426.0,501526642.0,48898775.0,1575785.13499439,74350.16531563,,,,,,,,,,,,,,,,,1400.09439782,126930.66533567,1575785.13499439,74350.16531563,,,,,
2014-03,38,A14,million,83379.0,76676.0,1050323.0,15661.0,19181567.0,296548.0,46105415.0,1661.6956917899997,145487.30638305,394421738.0,571497661.0,56981333.0,1796098.9325575102,85770.65240612999,,,,,,,,,,,,,,,,,1661.6956917899997,145487.30638305,1796098.9325575102,85770.65240612999,,,,,
2014-04,37,A14,million,85134.0,77409.0,1060504.0,15807.0,19226475.0,295478.0,46324573.0,1620.80187363,145554.23857771,399652017.0,554034275.0,56266452.0,1773477.06910158,86847.63406382999,,,,,,,,,,,,,,,,,1620.80187363,145554.23857771,1773477.06910158,86847.63406382999,,,,,
2014-05,39,A14,million,86475.0,78016.0,1065599.0,15867.0,19391187.0,305724.0,47240362.0,1669.7395043400004,150464.30430614,401722424.0,568127694.0,59220836.0,1873753.5914267097,95820.58491082,,,,,,,,,,,,,,,,,1669.7395043400004,150464.30430614,1873753.5914267097,95820.58491082,,,,,
2014-06,40,A14,million,87925.0,78969.0,1072662.0,16046.0,19476550.0,306826.0,48262074.0,1665.56550184,148605.68421619,409034442.0,555809580.0,59562768.0,1792850.8225415002,92734.67256950999,,,,,,,,,,,,,,,,,1665.56550184,148605.68421619,1792850.8225415002,92734.67256950999,,,,,
2014-07,44,A14,million,89042.0,79783.0,1054863.0,11133.0,19613711.0,319766.0,50915719.0,1729.6125458200002,152667.97742685003,413919085.0,583123745.0,64662917.0,1855244.74176018,99081.23012301001,,,,,,,,,,,,,,,,,1729.6125458200002,152667.97742685003,1855244.74176018,99081.23012301001,,,,,
2014-08,41,A14,million,89969.0,80504.0,1010698.0,7566.0,19778659.0,324137.0,50541670.0,1731.2048938099997,150789.79887055,424146541.0,587304093.0,67658774.0,1825383.1835338604,104758.41197652002,,,,,,,,,,,,,,,,,1731.2048938099997,150789.79887055,1825383.1835338604,104758.41197652002,,,,,
2014-09,43,A14,million,91197.0,81263.0,1089763.0,7560.0,19884624.0,337585.0,50174185.0,1845.7666653,151843.48884949,432795287.0,592422384.0,64791285.0,1856186.87211217,97156.82805714005,,,,,,,,,,,,,,,,,1845.7666653,151843.48884949,1856186.87211217,97156.82805714005,,,,,
2014-10,42,A14,million,91967.0,81730.0,1111228.0,348.0,19954598.0,349484.0,54575789.0,1933.2110131800002,171203.91577805998,441611701.0,601243824.0,73637777.0,1923009.6272952098,119563.37597816001,,,,,,,,,,,,,,,,,1933.2110131800002,171203.91577805998,1923009.6272952098,119563.37597816001,,,,,
2014-11,45,A14,million,92778.0,82081.0,1123808.0,348.0,20141291.0,396812.0,48262297.0,2348.8307827800004,149477.01108943,466141520.0,565472961.0,70075548.0,1830827.7791589997,103477.56663067995,,,,,,,,,,,,,,,,,2348.8307827800004,149477.01108943,1830827.7791589997,103477.56663067995,,,,,
2014-12,46,A14,million,93119.0,83291.0,1058294.0,348.0,20362859.0,438032.0,56091791.0,2505.7890452700003,171865.26331802,500080855.0,591056613.0,73618740.0,1897693.2828285503,111006.57221340998,,,,,,,,,,,,,,,,,2505.7890452700003,171865.26331802,1897693.2828285503,111006.57221340998,,,,,
2015-01,47,A14,million,94340.0,83061.0,1104211.0,346.0,20612165.0,410590.0,56171747.0,2144.1997981100003,173528.4029011,524787926.0,602575841.0,74464782.0,1924679.9399122004,112952.28994317,,,,,,,,,,,,,,,,,2144.1997981100003,173528.4029011,1924679.9399122004,112952.28994317,,,,,
2015-02,48,A14,million,94983.0,83764.0,1095010.0,346.0,20857696.0,367535.0,49548431.0,1956.7786822000003,154545.75524629,538031734.0,570389206.0,67901867.0,1668064.6068906793,81639.21846267999,,,,,,,,,,,,,,,,,1956.7786822000003,154545.75524629,1668064.6068906793,81639.21846267999,,,,,
2015-03,49,A14,million,89061.0,92337.0,1126389.0,346.0,21110653.0,437278.0,56906942.0,2343.9831560800003,178987.96008910003,553451553.0,624205135.0,76105726.0,1987479.8379149702,108283.19685710997,,,,,,,,,,,,,,,,,2343.9831560800003,178987.96008910003,1987479.8379149702,108283.19685710997,,,,,
2015-04,50,A14,million,90819.0,91661.0,1125377.0,338.0,21288891.0,430487.0,57304068.0,2285.6723704900005,179215.73520972003,564707913.0,615527057.0,80124846.0,2000398.17655186,114991.05096413,,,,,,,,,,,,,,,,,2285.6723704900005,179215.73520972003,2000398.17655186,114991.05096413,,,,,
2015-05,51,A14,million,91299.0,92588.0,1131782.0,338.0,21480389.0,465309.0,60133308.0,2332.9320962700003,188656.20458557998,570813794.0,636626458.0,88969122.0,2090730.6238707297,123253.16041845997,,,,,,,,,,,,,,,,,2332.9320962700003,188656.20458557998,2090730.6238707297,123253.16041845997,,,,,
2015-06,52,A14,million,92200.0,93284.0,1137583.0,337.0,21641454.0,439308.0,62197966.0,2141.2562521500004,172227.35578390997,575756915.0,619469342.0,86632195.0,1976704.1407908557,115287.71155042996,,,,,,,,,,,,,,,,,2141.2562521500004,172227.35578390997,1976704.1407908557,115287.71155042996,,,,,
2015-07,54,A14,million,93790.0,93781.0,1164988.0,337.0,21948568.0,456733.0,64787108.0,2384.91434819,196111.95380500003,586803158.0,655171621.0,94969528.0,2077850.77790167,140072.01897144003,,,,,,,,,,,,,,,,,2384.91434819,196111.95380500003,2077850.77790167,140072.01897144003,,,,,
2015-08,53,A14,million,95062.0,94127.0,1190974.0,337.0,22252641.0,470955.0,65524456.0,2444.2446242,199128.14413850004,598508555.0,672451148.0,96740962.0,2074417.5262686799,135564.45715325,,,,,,,,,,,,,,,,,2444.2446242,199128.14413850004,2074417.5262686799,135564.45715325,,,,,
2015-09,55,A14,million,95303.0,94541.0,1211890.0,337.0,22590856.0,475674.0,62403815.0,2464.73977813,190169.0480778,603512766.0,654822356.0,89958797.0,2020719.64964889,116611.38772013999,,,,,,,,,,,,,,,,,2464.73977813,190169.0480778,2020719.64964889,116611.38772013999,,,,,
2015-10,56,A14,million,96130.0,94729.0,1236596.0,337.0,22880984.0,517198.0,68920504.0,2700.78480993,216379.99583558,615367242.0,702815440.0,100428222.0,2192662.8689365205,140375.62830509018,,,,,,,,,,,,,,,,,2700.78480993,216379.99583558,2192662.8689365205,140375.62830509018,,,,,
