start_date,bank_names,no_atms_on_site,no_atms_off_site,no_pos_on_line,no_pos_off_line,no_credit_cards,no_credit_card_atm_txn,no_credit_card_pos_txn,no_credit_card_atm_txn_value_in_mn,no_credit_card_pos_txn_value_in_mn,no_debit_cards,no_debit_card_atm_txn,no_debit_card_pos_txn,no_debit_card_atm_txn_value_in_mn,no_debit_card_pos_txn_value_in_mn,bank_type,bank_name_published
2011-04-01,SOUTH INDIAN BANK,404.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1663029.0,2529781.0,32870.0,2865.5,76.6,Private Sector Banks,South Indian Bank Ltd
2011-04-01,TAMILNAD MERCANTILE BANK LTD,115.0,69.0,0.0,18.0,3258.0,0.0,3221.0,0.0,7.8,486735.0,742332.0,13427.0,2888.0,31.3,Private Sector Banks,Tamilnadu Mercantile Bank Ltd.
2011-04-01,YES BANK LTD,155.0,93.0,1505.0,0.0,0.0,0.0,0.0,0.0,0.0,174097.0,51009.0,43013.0,221.2,70.7,Private Sector Banks,Yes Bank Ltd.
2011-04-01,ALLAHABAD BANK,165.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974228.0,449385.0,46016.0,957.0,80.4,Public Sector Banks,Allahabad Bank
2011-04-01,ANDHRA BANK,455.0,530.0,2113.0,0.0,121466.0,6592.0,89063.0,25.3,240.4,6164517.0,6608419.0,259174.0,16346.8,413.2,Public Sector Banks,Andhra Bank
2011-04-01,BANK OF BARODA,1018.0,561.0,4537.0,0.0,70221.0,3050.0,70341.0,3.2,195.2,6313713.0,6074724.0,329175.0,22062.5,533.4,Public Sector Banks,Bank of Baroda
2011-04-01,BANK OF INDIA,760.0,690.0,1921.0,660.0,118225.0,8899.0,78427.0,59.5,211.3,6874195.0,1877971.0,346339.0,6489.0,405.7,Public Sector Banks,Bank of India
2011-04-01,BANK OF MAHARASHTRA,317.0,101.0,77.0,404.0,18827.0,0.0,12918.0,0.0,27.3,1928579.0,1907045.0,112523.0,5622.7,172.7,Public Sector Banks,Bank of Maharashtra
2011-04-01,CANARA BANK,1524.0,758.0,1090.0,130.0,64949.0,7916.0,50137.0,33.2,120.7,5997718.0,6278829.0,415101.0,21809.3,789.2,Public Sector Banks,Canara Bank
2011-04-01,CENTRAL BANK OF INDIA,402.0,636.0,729.0,0.0,48067.0,127.0,38460.0,0.67,14.0,2622639.0,5440739.0,52467.0,13031.982170169998,132.99249164,Public Sector Banks,Central Bank of India
2011-04-01,CORPORATION BANK,688.0,507.0,17178.0,0.0,53194.0,1474.0,66979.0,6.6,163.2,4164618.0,3878726.0,233084.0,12501.6,397.5,Public Sector Banks,Corporation Bank
2011-04-01,DENA BANK,398.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270666.0,1580566.0,58602.0,5081.8,90.4,Public Sector Banks,Dena Bank
2011-04-01,INDIAN BANK,824.0,325.0,0.0,0.0,38541.0,2425.0,44664.0,8.7,115.2,5811836.0,8796252.0,338680.0,15518.2,422.6,Public Sector Banks,Indian Bank
2011-04-01,INDIAN OVERSEAS BANK,726.0,330.0,651.0,0.0,34454.0,2912.0,30135.0,6.0,66.3,2710632.0,3342723.0,229061.0,8526.1,432.2,Public Sector Banks,Indian Overseas Bank
2011-04-01,ORIENTAL BANK OF COMMERCE,883.0,318.0,857.0,0.0,0.0,0.0,0.0,0.0,0.0,2634081.0,4056753.0,69918.0,9905.7,112.0,Public Sector Banks,Oriental Bank of Commerce
2011-04-01,PUNJAB AND SIND BANK,83.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48669.0,17281.0,0.0,72.9,0.0,Public Sector Banks,Punjab and Sind Bank
2011-04-01,PUNJAB NATIONAL BANK,3033.0,2195.0,176.0,0.0,80999.0,2277.0,84560.0,10.0,183.6,13567190.0,36192527.0,647495.0,49520.0,740.3,Public Sector Banks,Punjab National Bank
2011-04-01,STATE BANK OF BIKANER AND JAIPUR,597.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3636449.0,7523082.0,45096.0,20358.1,78.4,Public Sector Banks,State Bank of Bikaner & Jaipur
2011-04-01,STATE BANK OF HYDERABAD,997.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4868114.0,10962067.0,134752.0,26799.7,335.1,Public Sector Banks,State Bank of Hyderabad
2011-04-01,STATE BANK OF INDIA,10962.0,9318.0,0.0,0.0,2088515.0,21508.0,2737188.0,95.60243021000002,5482.23743091,73134000.0,144809000.0,4219000.0,367726.2,6616.2,Public Sector Banks,State Bank of India
2011-04-01,STATE BANK OF MYSORE,548.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992290.0,2678423.0,76387.0,8881.7,188.2,Public Sector Banks,State Bank of Mysore
2011-04-01,STATE BANK OF PATIALA,574.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2538168.0,4849553.0,40609.0,12607.5,83.3,Public Sector Banks,State Bank of Patiala
2011-04-01,STATE BANK OF TRAVANCORE,597.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4487339.0,5253112.0,75502.0,14239.6,193.3,Public Sector Banks,State Bank of Travancore
2011-04-01,SYNDICATE BANK,1021.0,201.0,376.0,0.0,63431.0,2007.0,41911.0,7.7,103.3,5324961.0,4485495.0,227842.0,15477.0,384.8,Public Sector Banks,Syndicate Bank
2011-04-01,UCO BANK,426.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277651.0,1442942.0,65292.0,5449.5,131.2,Public Sector Banks,UCO Bank
2011-04-01,UNION BANK OF INDIA,1832.0,804.0,2709.0,0.0,37971.0,818.0,35948.0,3.4,103.4,6530298.0,12066286.0,277161.0,22964.8,450.3,Public Sector Banks,Union Bank of India
2011-04-01,UNITED BANK OF INDIA,246.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216069.0,1997281.0,57012.0,4784.8,136.9,Public Sector Banks,United Bank of India
2011-04-01,VIJAYA BANK,448.0,98.0,1211.0,0.0,41583.0,3703.0,52352.0,20.0,173.9,1559268.0,639901.0,94791.0,2058.2,174.0,Public Sector Banks,Vijaya Bank
2011-05-01,AMERICAN EXPRESS BANKING CORPORATION,0.0,0.0,15894.0,0.0,564158.0,0.0,1401061.0,0.0,10096.7,0.0,0.0,0.0,0.0,0.0,Foreign Banks,American Express Bkg. Corp.
2011-05-01,BARCLAYS BANK PLC,7.0,30.0,0.0,0.0,318340.0,0.0,181918.0,0.0,336.07061609,27694.0,42306.0,17904.0,144.27049329,31.090099660000018,Foreign Banks,Barclays Bank
2011-05-01,CITI BANK,58.0,609.0,10310.0,0.0,2257163.0,28687.0,5253228.0,241.74542368,16263.30125222,2034062.0,2988336.0,1170438.0,10520.0,2580.5,Foreign Banks,Citibank
2011-05-01,DBS INDIA BANK LTD,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.0,17846.0,1434.0,39.8429,2.55727276,Foreign Banks,DBS Ltd.
2011-05-01,DEUTSCHE BANK LTD,14.0,49.0,63.0,0.0,189895.0,604.0,287043.0,3.64592221255,1177.333696904,101395.0,194903.0,75065.0,731.492212,137.787478,Foreign Banks,Deutsche Bank
2011-05-01,HSBC LTD,72.0,75.0,9143.0,4803.0,899323.0,3277.0,1147858.0,22.38634197,3203.4040180198776,555907.0,469697.0,275814.0,2110.38891936,653.64963255,Foreign Banks,HSBC
2011-05-01,OMAN INTERNATIONAL BANK SAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Foreign Banks,Oman International Bank SAO
