period,start_date,atmid,layout,value_unit_published,bank_type,bank_group_published,bank_name_std,bank_name_published,atm_total,pos_terminals,cc_payments_vol,cc_payments_val_mn,dc_payments_vol,dc_payments_val_mn,atm_onsite,atm_offsite,pos_online,pos_offline,cc_cards,cc_atm_vol,cc_pos_vol,cc_atm_val,cc_pos_val,dc_cards,dc_atm_vol,dc_pos_vol,dc_atm_val,dc_pos_val,atm_online,atm_offline,micro_atm,bharat_qr,pos,upi_qr,cc_ecom_vol,cc_ecom_val,cc_other_vol,cc_other_val,dc_ecom_vol,dc_ecom_val,dc_other_vol,dc_other_val,dc_cashpos_vol,dc_cashpos_val,cc_atm_val_mn,cc_pos_val_mn,dc_atm_val_mn,dc_pos_val_mn,cc_ecom_val_mn,cc_other_val_mn,dc_ecom_val_mn,dc_other_val_mn,dc_cashpos_val_mn
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,FEDERAL BANK LTD,Federal Bank Limited,806.0,1885.0,0.0,0.0,110523.0,211.5,462.0,344.0,1885.0,0.0,0.0,0.0,0.0,0.0,0.0,3251543.0,2349889.0,110523.0,8553.0,211.5,,,,,,,,,,,,,,,,,0.0,0.0,8553.0,211.5,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,HDFC BANK LTD,HDFC Bank Ltd.,5624.0,125179.0,5344558.0,17822.830808130002,4606216.0,6873.006143670815,2837.0,2787.0,125179.0,0.0,5089800.0,50701.0,5344558.0,298.96863275,17822.830808130002,13207311.0,21263901.0,4606216.0,85278.8031480712,6873.006143670815,,,,,,,,,,,,,,,,,298.96863275,17822.830808130002,85278.8031480712,6873.006143670815,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,ICICI BANK LTD,ICICI Bank Ltd.,6191.0,182821.0,4088258.0,9238.91344484999,3908668.0,6478.02170497,2724.0,3467.0,178960.0,3861.0,3361684.0,9256.0,4088258.0,47.59389197,9238.91344484999,16041986.0,24485090.0,3908668.0,105030.916610537,6478.02170497,,,,,,,,,,,,,,,,,47.59389197,9238.91344484999,105030.916610537,6478.02170497,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,IDBI BANK LTD,IDBI Ltd.,1386.0,18403.0,0.0,0.0,376902.0,625.3,677.0,709.0,18403.0,0.0,0.0,0.0,0.0,0.0,0.0,4355550.0,4491769.0,376902.0,16502.50753929,625.3,,,,,,,,,,,,,,,,,0.0,0.0,16502.50753929,625.3,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,INDUSIND BANK LTD,IndusInd Bank Ltd,611.0,0.0,0.0,0.0,83416.0,143.1,271.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639181.0,816769.0,83416.0,2835.5,143.1,,,,,,,,,,,,,,,,,0.0,0.0,2835.5,143.1,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,ING VYSYA BANK LTD,ING Vysya Bank,399.0,0.0,0.0,0.0,117048.0,200.8,206.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937511.0,3103008.0,117048.0,6883.4,200.8,,,,,,,,,,,,,,,,,0.0,0.0,6883.4,200.8,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,JAMMU AND KASHMIR BANK LTD,Jammu & Kashmir Bank,371.0,2724.0,28051.0,101.38064204,19048.0,53.9134641,268.0,103.0,2724.0,0.0,36558.0,2007.0,28051.0,6.97129325,101.38064204,923760.0,3038264.0,19048.0,7924.126027,53.9134641,,,,,,,,,,,,,,,,,6.97129325,101.38064204,7924.126027,53.9134641,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,KARNATAKA BANK LTD,Karnataka Bank Ltd.,270.0,3.0,0.0,0.0,88673.0,140.8,195.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1231529.0,1024182.0,88673.0,3125.6,140.8,,,,,,,,,,,,,,,,,0.0,0.0,3125.6,140.8,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,KARUR VYSYA BANK LTD,Karur Vysya Bank Ltd,489.0,0.0,0.0,0.0,106879.0,163.5,372.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2126332.0,3050597.0,106879.0,8727.3,163.5,,,,,,,,,,,,,,,,,0.0,0.0,8727.3,163.5,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,KOTAK MAHINDRA BANK LTD,Kotak Mahindra Bank Ltd,712.0,0.0,183011.0,513.07867166,263716.0,408.82777178999953,307.0,405.0,0.0,0.0,169108.0,2272.0,183011.0,20.4067586,513.07867166,1185510.0,2029143.0,263716.0,5466.14446062,408.82777178999953,,,,,,,,,,,,,,,,,20.4067586,513.07867166,5466.14446062,408.82777178999953,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,LAKSHMI VILAS BANK LTD,Lakshmi Vilas Bank Ltd.,251.0,0.0,0.0,0.0,10084.0,19.4,146.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323578.0,496813.0,10084.0,1526.6,19.4,,,,,,,,,,,,,,,,,0.0,0.0,1526.6,19.4,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,RBL BANK LTD,Ratnakar Bank Ltd.,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6993.0,23542.0,0.0,45.576,0.0,,,,,,,,,,,,,,,,,0.0,0.0,45.576,0.0,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,SBI COMMERCIAL AND INTERNATIONAL BANK LTD,SBI Comm. & Int. Bank Ltd.,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344.0,582.0,0.0,1.787,0.0,,,,,,,,,,,,,,,,,0.0,0.0,1.787,0.0,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,SOUTH INDIAN BANK,South Indian Bank Ltd,500.0,0.0,0.0,0.0,32870.0,76.6,404.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1663029.0,2529781.0,32870.0,2865.5,76.6,,,,,,,,,,,,,,,,,0.0,0.0,2865.5,76.6,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,TAMILNAD MERCANTILE BANK LTD,Tamilnadu Mercantile Bank Ltd.,184.0,18.0,3221.0,7.8,13427.0,31.3,115.0,69.0,0.0,18.0,3258.0,0.0,3221.0,0.0,7.8,486735.0,742332.0,13427.0,2888.0,31.3,,,,,,,,,,,,,,,,,0.0,7.8,2888.0,31.3,,,,,
2011-04,2011-04-01,9,A14,million,Private Sector Banks,,YES BANK LTD,Yes Bank Ltd.,248.0,1505.0,0.0,0.0,43013.0,70.7,155.0,93.0,1505.0,0.0,0.0,0.0,0.0,0.0,0.0,174097.0,51009.0,43013.0,221.2,70.7,,,,,,,,,,,,,,,,,0.0,0.0,221.2,70.7,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,ALLAHABAD BANK,Allahabad Bank,241.0,0.0,0.0,0.0,46016.0,80.4,165.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974228.0,449385.0,46016.0,957.0,80.4,,,,,,,,,,,,,,,,,0.0,0.0,957.0,80.4,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,ANDHRA BANK,Andhra Bank,985.0,2113.0,89063.0,240.4,259174.0,413.2,455.0,530.0,2113.0,0.0,121466.0,6592.0,89063.0,25.3,240.4,6164517.0,6608419.0,259174.0,16346.8,413.2,,,,,,,,,,,,,,,,,25.3,240.4,16346.8,413.2,,,,,
